"","country","years.new","phase","Region.Name","Sub.region.Name","Intermediate.Region.Name","ISO.alpha3.Code","total.cases","valid.cases","urban.wife","urban.both","urban.husband","urban.other","urban.missing","rural.wife","rural.both","rural.husband","rural.other","rural.missing"
"59","Indonesia","2012",6,"Asia","South-eastern Asia","","IDN",45607,19355,3581.490168,5684.17383,799.125423,24.360554,NA,3162.109299,6311.717692,917.400855,12.252281,NA
"60","Indonesia","2007",5,"Asia","South-eastern Asia","","IDN",32895,18165,2033.547107,5672.881635,245.513441,12.387432,57.179063,2570.896185,7909.632355,348.955717,51.980692,77.586744
"61","Indonesia","2002",4,"Asia","South-eastern Asia","","IDN",29483,16462,1783.051807,5732.083361,236.327834,14.646675,30.835548,1862.379064,6807.075721,255.668465,27.619245,58.22343
"62","Jordan","2012",6,"Asia","Western Asia","","JOR",11352,6604,911.129076,4314.39738,254.458368,5.103918,NA,167.412978,903.793633,49.10753,2.05421,NA
"63","Jordan","2007",5,"Asia","Western Asia","","JOR",10876,5672,861.093642,3961.829704,270.078596,11.093089,7.754934,120.006046,648.14228,30.736008,1.249095,0
"64","Jordan","2002",4,"Asia","Western Asia","","JOR",6006,3062,470.779616,2040.071612,80.155378,6.316208,NA,91.665244,475.794817,17.762831,0,NA
"65","Kenya","2014",7,"Africa","Sub-Saharan Africa","Eastern Africa","KEN",31079,4669,666.420155,1256.817928,217.406844,3.820043,NA,895.936509,1683.650696,308.734023,2.409248,NA
"66","Kenya","2008",5,"Africa","Sub-Saharan Africa","Eastern Africa","KEN",8444,2077,162.46432,368.730692,68.308487,1.271653,11.866899,410.865641,972.204458,218.107898,5.475521,21.738125
"67","Kenya","2003",4,"Africa","Sub-Saharan Africa","Eastern Africa","KEN",8195,1871,147.245774,318.647415,42.604213,4.943636,5.463333,424.079691,812.81333,162.310536,12.879664,3.121371
"68","Kyrgyzstan","2012",6,"Asia","Central Asia","","KGZ",8208,2081,284.553863,326.339197,27.320833,2.451031,NA,446.054985,726.353868,70.755295,0.482612,NA
"69","Lesotho","2014",7,"Africa","Sub-Saharan Africa","Southern Africa","LSO",6621,2146,134.296455,576.707503,35.356977,4.299,NA,247.035241,1058.814022,101.280502,9.77251,NA
"70","Lesotho","2009",6,"Africa","Sub-Saharan Africa","Southern Africa","LSO",7624,1818,126.035052,502.439234,82.910105,1.601316,NA,216.0505,857.039861,120.685928,6.215075,NA
